ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
ELET3;1;-14.88;-11.61;-3.27;8.46;-17.65;-2.77;-9.26;-0.31;-8.12;-14.88;-15.61;0.72;-2.48;-3.12;0.72;5;1;6;23;6;16.67;44.83;11.11;8.33;70.59;-3.42;-4.84;-2.48;1.87;1.34;-2.81;-2.81;-4.77;0.72;5.49;3.50;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.66;0.00;0.06;0.09;0.19
ELET3;2;-21.38;-16.68;-4.70;8.46;-17.65;3.73;-9.65;7.00;-10.98;-21.05;-25.55;4.17;-1.53;-2.32;1.39;11;3;14;15;14;21.43;31.03;23.08;25.00;35.29;-4.70;-6.66;-1.53;2.05;1.59;-1.34;-1.34;-4.77;2.21;6.98;4.21;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.85;0.00;0.20;0.03;0.03
ELET3;3;-15.45;-12.05;-3.40;8.46;-17.65;-2.20;-15.84;1.69;-7.88;-14.92;-17.64;2.19;-1.54;-2.21;1.10;8;2;10;19;10;20.00;37.93;18.18;16.67;52.94;-3.53;-5.00;-1.55;1.94;1.54;-1.52;-1.52;-4.77;1.47;6.24;3.75;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.97;0.01;0.24;0.16;0.16
ELET3;4;-17.17;-13.39;-3.78;8.46;-17.65;-0.48;-0.45;4.19;-7.12;-18.25;-22.97;5.80;-1.14;-1.91;1.93;12;3;15;14;15;20.00;27.59;22.22;25.00;29.41;-3.87;-5.48;-1.15;2.04;1.58;-1.31;-1.31;-4.09;2.87;6.96;4.16;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.63;0.00;0.44;0.19;0.08
ELET3;5;-8.31;-6.48;-1.83;8.46;-17.65;-9.34;-0.27;1.00;-8.31;-8.31;-8.31;0.00;-4.16;-4.16;0.00;2;0;2;27;2;0.00;51.72;0.00;0.00;88.24;-2.12;-3.00;-4.16;0.86;0.61;-4.16;-4.16;-4.77;-3.55;1.22;0.74;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.00;0.00;0.00;0.00;0.00
ELET3;6;-15.57;-12.14;-3.43;8.46;-17.65;-2.08;-5.12;4.69;-12.78;-15.78;-21.74;6.17;-0.97;-1.98;1.23;11;5;16;13;16;31.25;37.93;35.71;41.67;35.29;-3.55;-5.03;-0.97;1.96;1.52;-1.02;-1.02;-4.77;2.21;6.98;3.86;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.93;0.01;0.59;0.36;0.33
ELET3;7;-15.18;-11.84;-3.34;8.46;-17.65;-2.47;-4.20;0.69;-12.00;-15.18;-15.68;0.50;-1.90;-2.24;0.50;7;1;8;21;8;12.50;37.93;10.00;8.33;58.82;-3.48;-4.92;-1.90;1.71;1.36;-1.50;-1.50;-4.77;0.50;5.27;2.93;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.92;0.00;0.14;0.08;0.06
ELET3;8;-14.87;-11.59;-3.27;8.46;-17.65;-2.78;-19.10;0.01;-8.47;-14.33;-16.83;1.97;-1.49;-2.10;0.98;8;2;10;19;10;20.00;37.93;18.18;16.67;52.94;-3.41;-4.84;-1.49;1.87;1.57;-1.09;-1.09;-4.09;1.47;5.56;3.51;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.61;0.03;0.27;0.36;0.30
ELET3;9;-13.37;-10.43;-2.94;8.46;-17.65;-4.28;-5.34;-0.81;-10.69;-13.37;-13.37;0.00;-2.67;-2.67;0.00;5;0;5;24;5;0.00;41.38;0.00;0.00;70.59;-3.12;-4.42;-2.68;1.63;1.24;-2.81;-2.81;-4.77;-0.57;4.20;2.65;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.99;0.00;0.06;0.03;0.04
ELET3;10;18.73;14.61;4.12;8.46;-17.65;-36.38;-12.00;6.00;11.56;18.52;0.00;18.73;1.56;0.00;1.56;0;12;12;17;12;100.00;100.00;100.00;100.00;100.00;3.23;4.57;1.56;0.94;0.80;1.58;1.58;0.25;2.87;2.62;0.88;03/07/2017;11/08/2017;30;12.46;13.73;60.00;40.00;18;12;5.06;3.57;11;0;7;5;0;5;0.32;0.00;0.00;0.00;0.00
