ativo;classificador;RetornoBruto;RetornoLiquido;CustoOperacional;BuyAndHoldP;comprarSempreP;IndInversoP;IndAleatorioP;indAlvo05P;indAlvo1P;indAlvo2P;perdaP;ganhoP;retornoMedioP;perdaMediaP;ganhoMedioP ;qtdePerda;qtdeGanho ;qtdeTotal ;qtdeClasse0 ;qtdeClasse1 ;precisao;acuracia;f1score;recall;specificity;sharpe;sortino;media;desvioPadrao;desvioAbsoluto;mediana;quantil;minimo;maximo;amplitude;variancia; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; QtdeClasse0;QtdeClasse1;volatilidade;volatilidadeDowsid;qtdeD3_caiu;qtdeD3_estavel;qtdeD3_subiu;qtdeRompimento;qtdeCorrecao;qtdeContraTendencia;ShapiroWilk;KolmogorovSmirnov;Tstudent;Anova;kruskalWallis
EMBR3;1;6.84;5.33;1.50;7.95;5.81;-1.03;1.29;3.50;2.71;6.00;-2.06;8.90;0.76;-0.69;1.48;3;6;9;20;9;66.67;58.62;50.00;40.00;78.57;1.30;2.42;0.76;1.38;1.13;0.65;0.65;-1.42;2.82;4.24;1.91;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.97;0.18;0.29;0.44;0.35
EMBR3;2;7.70;6.00;1.69;7.95;5.81;-1.89;2.88;6.50;5.82;6.86;-3.46;11.16;0.51;-0.58;1.24;6;9;15;14;15;60.00;58.62;60.00;60.00;57.14;1.56;2.89;0.51;1.19;0.98;0.13;0.13;-1.42;2.82;4.24;1.41;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.83;0.32;0.46;0.46;0.30
EMBR3;3;8.85;6.90;1.95;7.95;5.81;-3.04;6.73;4.13;6.26;8.01;-1.03;9.88;0.98;-0.51;1.41;2;7;9;20;9;77.78;65.52;58.33;46.67;85.71;1.90;3.52;0.99;1.17;0.93;0.98;0.98;-0.51;2.82;3.33;1.37;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.76;0.07;0.13;0.06;0.03
EMBR3;4;10.61;8.27;2.33;7.95;5.81;-4.80;9.88;6.50;5.82;9.15;-2.95;13.56;0.71;-0.59;1.36;5;10;15;14;15;66.67;65.52;66.67;66.67;64.29;2.41;4.49;0.71;1.26;1.04;0.65;0.65;-1.42;2.82;4.24;1.60;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.80;0.10;0.24;0.09;0.07
EMBR3;5;7.35;5.74;1.62;7.95;5.81;-1.55;1.68;3.13;1.90;5.90;-2.23;9.59;1.05;-1.12;1.92;2;5;7;22;7;71.43;58.62;45.45;33.33;85.71;1.46;2.71;1.05;1.75;1.50;1.81;1.81;-1.72;2.82;4.54;3.08;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.31;0.02;0.17;0.29;0.32
EMBR3;6;10.66;8.31;2.34;7.95;5.81;-4.85;0.54;7.50;5.66;9.20;-4.44;15.10;0.63;-0.89;1.26;5;12;17;12;17;70.59;72.41;75.00;80.00;64.29;2.43;4.51;0.63;1.31;1.05;0.65;0.65;-1.72;2.82;4.54;1.73;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.94;0.06;0.31;0.16;0.03
EMBR3;7;3.10;2.41;0.68;7.95;5.81;2.71;1.46;5.63;1.74;3.07;-4.36;7.45;0.26;-1.09;0.93;4;8;12;17;12;66.67;62.07;59.26;53.33;71.43;0.20;0.38;0.26;1.22;0.95;0.23;0.23;-1.72;2.21;3.93;1.48;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.98;0.74;0.90;0.95;0.71
EMBR3;8;4.42;3.45;0.97;7.95;5.81;1.39;7.53;5.50;3.80;3.77;-4.35;8.77;0.40;-1.09;1.25;4;7;11;18;11;63.64;58.62;53.85;46.67;71.43;0.59;1.10;0.40;1.43;1.15;0.44;0.44;-1.72;2.62;4.34;2.06;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.84;0.50;0.69;0.83;0.55
EMBR3;9;7.94;6.20;1.75;7.95;5.81;-2.14;6.14;4.13;3.84;7.11;-1.93;9.88;0.88;-0.97;1.41;2;7;9;20;9;77.78;65.52;58.33;46.67;85.71;1.63;3.03;0.88;1.34;1.04;0.98;0.98;-1.42;2.82;4.24;1.80;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.99;0.07;0.20;0.19;0.09
EMBR3;10;18.35;14.31;4.04;7.95;5.81;-12.54;-2.71;7.13;13.10;18.08;0.00;18.35;1.22;0.00;1.22;0;15;15;14;15;100.00;100.00;100.00;100.00;100.00;4.69;8.72;1.22;0.90;0.74;0.99;0.99;0.06;2.82;2.76;0.81;03/07/2017;11/08/2017;30;15.13;16.58;46.67;53.33;14;16;3.40;1.83;19;0;14;6;1;6;0.31;0.00;0.01;0.00;0.00
